g_force_x, g_force_y, g_force_z
-0.050765157, 0.112750545, -0.3316657
-0.05174082, 0.11348228, -0.32629952
-0.05564349, 0.1161653, -0.32361645
-0.059302237, 0.10884787, -0.32751912
-0.059546154, 0.1027499, -0.33117786
-0.06786981, 0.11031134, -0.31459153
-0.07226031, 0.12421457, -0.30312747
-0.06518673, 0.12421457, -0.3053227
-0.05808266, 0.12567814, -0.31678677
-0.054667823, 0.13104427, -0.3182503
-0.055155657, 0.14226438, -0.3216651
-0.053204324, 0.14153264, -0.32093337
-0.060521826, 0.13494696, -0.32386035
-0.060521826, 0.12445848, -0.32776302
-0.060033992, 0.117628865, -0.3216651
-0.05052124, 0.11665313, -0.32459214
-0.050765157, 0.11445793, -0.31800637
-0.06518673, 0.1205558, -0.31946984
-0.07250423, 0.1227511, -0.30995712
-0.063967146, 0.12616596, -0.3084936
-0.052228656, 0.12567814, -0.30824968
-0.063967146, 0.12811725, -0.30800578
-0.08323656, 0.13811779, -0.31678677
-0.08299265, 0.1466854, -0.3228847
-0.05344824, 0.15034418, -0.32532385
-0.031739656, 0.14031309, -0.32825086
-0.04149632, 0.12836115, -0.35657567
-0.06421106, 0.1139701, -0.36925936
-0.07689473, 0.10762822, -0.37218636
-0.07274815, 0.103725545, -0.36608842
-0.081041306, 0.11055525, -0.35755134
-0.09909115, 0.12543413, -0.3612101
-0.09470065, 0.13982527, -0.34434938
-0.06982114, 0.1532712, -0.32654345
-0.040032823, 0.15302719, -0.31971377
-0.041984156, 0.14595367, -0.34020278
-0.0690894, 0.14177656, -0.3629175
-0.08128523, 0.13421512, -0.36950326
-0.06591848, 0.1249463, -0.36901543
-0.05271649, 0.10811604, -0.36242968
-0.06933331, 0.10543302, -0.3729181
-0.09201757, 0.1117748, -0.37706468
-0.08445615, 0.11787278, -0.3556
-0.05369216, 0.12665378, -0.34166628
-0.03710582, 0.13323948, -0.3216651
-0.05491174, 0.14177656, -0.3272752
-0.076406896, 0.14595367, -0.33703187
-0.06225973, 0.13933745, -0.33239743
-0.042228073, 0.13884963, -0.3319096
-0.049301654, 0.1466854, -0.33239743
-0.08689531, 0.16229612, -0.3453555
-0.09348106, 0.15131982, -0.3729181
-0.05271649, 0.12128754, -0.38779703
-0.020275572, 0.10640866, -0.3829187
-0.03954499, 0.11055525, -0.3697472
-0.08835881, 0.12299501, -0.37779644
-0.10372557, 0.12909289, -0.38657743
-0.072992064, 0.12543413, -0.36950326
-0.04344766, 0.13641042, -0.35047778
-0.053204324, 0.16351567, -0.3287387
-0.08470006, 0.18522425, -0.32483605
-0.0822609, 0.17400405, -0.3507217
-0.04174024, 0.13689823, -0.37316203
-0.025885658, 0.117628865, -0.38023558
-0.06079623, 0.12079971, -0.38096735
-0.11201874, 0.1295807, -0.38194302
-0.12204979, 0.1268977, -0.40368208
-0.0807974, 0.11787278, -0.40416992
-0.054667823, 0.1249463, -0.38340652
-0.06884548, 0.15668596, -0.36486885
-0.086163566, 0.1776628, -0.36218575
-0.07518731, 0.17863846, -0.3787721
-0.03417882, 0.15839344, -0.3921875
-0.021007322, 0.1532712, -0.38023558
-0.045155074, 0.16107646, -0.37218636
-0.07079682, 0.16375957, -0.36023444
-0.06591848, 0.14619759, -0.36316144
-0.03954499, 0.11933625, -0.38389435
-0.032471407, 0.11226263, -0.36584452
-0.061771892, 0.13275166, -0.34877035
-0.08494399, 0.15644205, -0.34434938
-0.07689473, 0.16083255, -0.33971494
-0.044179406, 0.15424685, -0.3480386
-0.010518907, 0.14153264, -0.3599905
-0.029788323, 0.15156373, -0.35316086
-0.06982114, 0.17327231, -0.36389318
-0.090554066, 0.18424861, -0.3697472
-0.06738198, 0.16790617, -0.38828486
-0.019787738, 0.1337273, -0.40490168
-0.013445905, 0.11811669, -0.39609018
-0.058570493, 0.13470304, -0.3890166
-0.0954324, 0.15229547, -0.38096735
-0.10006682, 0.15351512, -0.38023558
-0.072016396, 0.13567868, -0.38169912
-0.05905832, 0.12299501, -0.36218575
-0.08835881, 0.1488807, -0.34117842
-0.1117748, 0.18693163, -0.33995888
-0.1117748, 0.20745118, -0.33337313
-0.07738257, 0.19327351, -0.35413653
-0.042715907, 0.15400293, -0.36950326
-0.045155074, 0.12738551, -0.38047954
-0.08055347, 0.12836115, -0.39560238
-0.109823495, 0.13762997, -0.4066091
-0.11738491, 0.14985634, -0.41392657
-0.087139234, 0.14299622, -0.40145636
-0.058326576, 0.13519086, -0.37657684
-0.053204324, 0.14985634, -0.37267417
-0.07177248, 0.18107766, -0.35877094
-0.09226148, 0.2035485, -0.3626736
-0.069577225, 0.19229788, -0.3716985
-0.023934323, 0.15912516, -0.3521852
-0.012958074, 0.140557, -0.34706292
-0.04564291, 0.13958137, -0.34852645
-0.09494456, 0.14936852, -0.36316144
-0.10762824, 0.14595367, -0.37730858
-0.06738198, 0.12421457, -0.3787721
-0.04247199, 0.12128754, -0.36584452
-0.06274756, 0.15180764, -0.34779468
-0.08738314, 0.18376078, -0.33727577
-0.07152857, 0.19546871, -0.3556
-0.00807974, 0.18449251, -0.37243026
0.022196418, 0.1818094, -0.39413884
-0.011006738, 0.19156604, -0.40709692
-0.06786981, 0.19205385, -0.4161218
-0.08323656, 0.1618082, -0.4378304
-0.04320374, 0.11031134, -0.4375865
-0.014177657, 0.09543247, -0.42758593
-0.04100849, 0.13348338, -0.39877325
-0.083480485, 0.18229721, -0.37340593
-0.07689473, 0.2018106, -0.3697472
-0.007591906, 0.17619935, -0.36462495
0.04439283, 0.15156373, -0.3668202
0.0014635006, 0.17254058, -0.3712107
-0.10104248, 0.21550044, -0.36755195
-0.15156373, 0.23135497, -0.37486944
-0.09372498, 0.18522425, -0.38926053
0.0041465843, 0.11518966, -0.41295093
0.03195308, 0.08710876, -0.4290494
-0.032471407, 0.10762822, -0.40145636
-0.11348223, 0.1510759, -0.39413884
-0.11153089, 0.1618082, -0.37340593
-0.05174082, 0.15400293, -0.3556
-0.03149574, 0.1686379, -0.35145342
-0.07396773, 0.20647544, -0.34264195
-0.10714039, 0.2435508, -0.33971494
-0.05564349, 0.22476926, -0.35169736
0.038051, 0.16888182, -0.3904801
0.04268542, 0.13421512, -0.42709813
-0.04344766, 0.11958016, -0.4490506
-0.13692872, 0.11494575, -0.4634722
-0.14766106, 0.10201816, -0.45197758
-0.08323656, 0.095188454, -0.43246427
-0.04539899, 0.12640986, -0.41075566
-0.066894144, 0.1840047, -0.3668202
-0.091773644, 0.22867194, -0.3451116
-0.053204324, 0.22037877, -0.3289826
0.020976834, 0.17668717, -0.3358123
0.0160985, 0.1574177, -0.36364928
-0.08055347, 0.1686379, -0.38779703
-0.16693048, 0.18668772, -0.42343935
-0.13497739, 0.1686379, -0.4300251
-0.018568156, 0.12811725, -0.43929392
0.037563168, 0.103725545, -0.45908168
